DAP,Frec.
16,2
16,
17,1
18,
18,
18,
18,4
19,
19,
19,3
20,
20,2
21,
21,
21,
21,
21,
21,6
22,
22,
22,
22,
22,5
23,
23,
23,
23,
23,
23,
23,7
24,
24,2
25,
25,
25,
25,4
26,
26,
26,
26,
26,
26,
26,
26,8
27,
27,
27,
27,
27,
27,6
28,
28,
28,
28,
28,
28,6
29,
29,
29,
29,4
30,
30,
30,
30,
30,
30,
30,
30,8
31,
31,
31,
31,
31,
31,
31,
31,
31,
31,
31,11
32,
32,
32,
32,
32,
32,
32,
32,8
33,
33,
33,
33,
33,
33,6
34,
34,
34,
34,
34,
34,
34,
34,
34,9
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,
35,19
36,
36,
36,
36,
36,
36,6
37,
37,
37,
37,
37,
37,
37,
37,8
38,
38,
38,
38,4
39,
39,
39,
39,
39,
39,6
40,
40,
40,
40,
40,
40,6
41,
41,
41,
41,
41,
41,
41,
41,
41,9
42,
42,
42,
42,
42,
42,
42,7
43,1
44,
44,2
45,
45,
45,3
46,
46,2
48,
48,2
49,
49,
49,3
